Var1,Freq
𐄁𐘌𐘸, 1
𐄁𐘌𐘻, 1
𐄁𐘐𐙈, 1
𐄁𐘚𐛭, 1
𐄁𐘜𐘙, 1
𐄁𐘝𐄐, 1
𐄁𐘝𐝆, 1
𐄁𐘞𐄊, 1
𐄁𐘞𐘽, 1
𐄁𐘞𐙁, 1
𐄁𐘠𐘆, 1
𐄁𐘠𐘠, 1
𐄁𐘣𐘞, 1
𐄁𐘤𐘘, 1
𐄁𐘤𐛀, 1
𐄁𐘬𐙦, 1
𐄁𐘱𐘆, 1
𐄁𐘱𐘚, 1
𐄁𐘱𐘠, 1
𐄁𐘱𐘤, 1
𐄁𐘱𐘲, 1
𐄁𐘳𐘞, 1
𐄁𐘵𐘲, 1
𐄁𐘸𐘁, 1
𐄁𐘿𐘦, 1
𐄁𐙁𐘆, 1
𐄁𐙁𐘙, 1
𐄁𐙁𐘾, 1
𐄁𐙂𐘁, 1
𐄁𐙂𐘂, 1
𐄁𐙂𐘙, 1
𐄁𐙂𐙁, 1
𐄁𐙂𐝃, 1
𐄁𐙅𐘤, 1
𐄁𐙇𐄚, 1
𐄁𐙈𐄋, 1
𐄁𐙉𐄙, 1
𐄁𐙉𐘰, 1
𐄁𐙋𐄒, 1
𐄁𐙍𐄐, 1
𐄁𐙕𐘅, 1
𐄁𐙗𐄌, 1
𐄁𐙙𐄍, 1
𐄁𐙚𐄇, 1
𐄁𐙜𐝆, 1
𐄁𐙨𐄇, 1
𐄁𐙪𐄁, 1
𐄁𐙲𐄁, 1
𐄁𐚻𐄇, 1
𐄁𐚿𐄐, 1
𐄁𐛀𐄁, 1
𐄁𐛭𐄉, 1
𐄁𐛭𐄋, 1
𐄁𐛯𐘭, 1
𐄁𐛾𐄁, 1
𐄁𐜋𐄑, 1
𐄁𐜓𐄇, 1
𐄁𐜓𐄎, 1
𐄁𐜓𐝀, 1
𐄁𐜙𐝆, 1
𐄁𐜮𐄁, 1
𐄂𐘚𐘬, 1
||—, 1
|𐘣𐘱, 1
𐄐—𐘞, 1
𐄐𐄐𐄐, 1
𐄐𐄇𐜎, 1
𐄐𐄈𐘌, 1
𐄐𐄈𐘘, 1
𐄐𐄈𐘚, 1
𐄐𐄈𐙀, 1
𐄐𐄈𐙘, 1
𐄐𐄈𐝆, 1
𐄐𐄉𐘤, 1
𐄐𐄉𐘳, 1
𐄐𐄉𐘺, 1
𐄐𐄊𐙍, 1
𐄐𐄊𐜛, 1
𐄐𐄊𐝆, 1
𐄐𐄋𐘸, 1
𐄐𐄋𐙖, 1
𐄐𐄋𐙜, 1
𐄐𐄋𐙢, 1
𐄐𐄌𐜓, 1
𐄐𐄌𐝆, 1
𐄐𐄍𐜎, 1
𐄐𐘂𐘀, 1
𐄐𐘋𐙍, 1
𐄐𐘌𐘌, 1
𐄐𐘙𐄁, 1
𐄐𐘚𐘂, 1
𐄐𐘝𐄑, 1
𐄐𐘞𐘘, 1
𐄐𐘰𐘾, 1
𐄐𐘵𐘽, 1
𐄐𐘸𐘦, 1
𐄐𐘹𐘂, 1
𐄐𐙁𐙀, 1
𐄐𐙂𐘝, 1
𐄐𐙖𐄍, 1
𐄐𐚸𐄉, 1
𐄐𐚺𐄐, 1
𐄐𐜉𐄉, 1
𐄐𐜙𐝆, 1
𐄑𐄇𐘸, 1
𐄑𐄈𐝕, 1
𐄑𐄉𐄙, 1
𐄑𐄊𐛑, 1
𐄑𐄊𐛩, 1
𐄑𐄋𐙘, 1
𐄑𐘌𐘽, 1
𐄑𐘙𐘍, 1
𐄑𐘸𐘁, 1
𐄑𐘻𐘯, 1
𐄑𐘾𐘇, 1
𐄑𐙂𐘂, 1
𐄑𐙂𐘝, 1
𐄑𐙘𐄉, 1
𐄑𐛃𐄍, 1
𐄑𐜄𐄔, 1
𐄑𐜓𐄈, 1
𐄑𐜧𐄉, 1
𐄒—𐜣, 1
𐄒𐄇𐘀, 1
𐄒𐄉𐘾, 1
𐄒𐄋𐙗, 1
𐄒𐄍𐛆, 1
𐄒𐘭𐘾, 1
𐄒𐘾𐄔, 1
𐄒𐙝𐘭, 1
𐄒𐜗𐄉, 1
𐄓𐄋𐜗, 1
𐄓𐜁𐄐, 1
𐄓𐝆𐜉, 1
𐄔𐄈𐝆, 1
𐄔𐄉𐘚, 1
𐄔𐄍𐘚, 1
𐄔𐙅𐄔, 1
𐄔𐝃𐛿, 1
𐄕𐄇𐜋, 1
𐄕𐄈𐙂, 1
𐄕𐄈𐙅, 1
𐄕𐄌𐘀, 1
𐄕𐘢𐘘, 1
𐄖𐄌𐘰, 1
𐄖𐘸𐘁, 1
𐄖𐙓𐄁, 1
𐄗𐄈𐙳, 1
𐄗𐘚𐘈, 1
𐄘𐄍𐘞, 1
𐄘𐙞𐘸, 1
𐄘𐜦𐄙, 1
𐄙𐄐𐄉, 1
𐄙𐄑𐄉, 1
𐄙𐄒𐄊, 1
𐄙𐄘𐄍, 1
𐄙𐄊𐘆, 1
𐄙𐄏𐘇, 1
𐄚𐄓𐄋, 1
𐄚𐄘𐄈, 1
𐄜𐚢𐘲, 1
𐄞𐄗𐙘, 1
𐄡𐄓𐄇, 1
⁰⁰¹, 1
⁰²⁰, 1
⁰²⁹, 1
⁰³⁹, 1
⁰⁴⁷, 1
⁰⁵⁹, 1
⁰⁶⁷, 1
⁰𐚩², 1
𐄇—𐄋, 1
𐄇—𐘷, 1
¹⁰𐙕, 1
¹²³, 1
¹³¹, 1
¹⁴⁸, 1
¹⁵⁴, 1
¹⁷⁷, 1
¹⁸𐙂, 1
¹⁹⁹, 1
𐄇𐘀𐘗, 1
𐄇𐘀𐘘, 1
𐄇𐘀𐘚, 1
𐄇𐘀𐘭, 1
𐄇𐘂𐘦, 1
𐄇𐘂𐘳, 1
𐄇𐘇𐄐, 1
𐄇𐘇𐘈, 1
𐄇𐘇𐘘, 1
𐄇𐘇𐘬, 1
𐄇𐘇𐘭, 1
𐄇𐘇𐙂, 1
𐄇𐘉𐘅, 1
𐄇𐘉𐘆, 1
𐄇𐘋𐘍, 1
𐄇𐘌𐙠, 1
𐄇𐘐𐙈, 1
𐄇𐘑𐄋, 1
𐄇𐘖𐄉, 1
𐄇𐘘𐙁, 1
𐄇𐘙𐄑, 1
𐄇𐘙𐘆, 1
𐄇𐘝𐄈, 1
𐄇𐘞𐙁, 1
𐄇𐘠𐘬, 1
𐄇𐘤𐘹, 1
𐄇𐘥𐘸, 1
𐄇𐘦𐘆, 1
𐄇𐘫𐘝, 1
𐄇𐘭𐘘, 1
𐄇𐘲𐘙, 1
𐄇𐘲𐘜, 1
𐄇𐘸𐄇, 1
𐄇𐘸𐝢, 1
𐄇𐘹𐘻, 1
𐄇𐘺𐘞, 1
𐄇𐘻𐘸, 1
𐄇𐘻𐘹, 1
𐄇𐘾𐘌, 1
𐄇𐘾𐘠, 1
𐄇𐘿𐘲, 1
𐄇𐙁𐘆, 1
𐄇𐙁𐘭, 1
𐄇𐙂𐘂, 1
𐄇𐙂𐘰, 1
𐄇𐙂𐘴, 1
𐄇𐙄𐄇, 1
𐄇𐙇𐘚, 1
𐄇𐙓𐘬, 1
𐄇𐙗𐝓, 1
𐄇𐙜𐄎, 1
𐄇𐙢𐄇, 1
𐄇𐙯𐚄, 1
𐄇𐚞𐄇, 1
𐄇𐚻𐄇, 1
𐄇𐚼𐝇, 1
𐄇𐛖𐄐, 1
𐄇𐛣𐝓, 1
𐄇𐜋𐙖, 1
𐄇𐜖𐝉, 1
𐄇𐜗𐄌, 1
𐄇𐝃𐛺, 1
𐄇𐝃𐝄, 1
𐄇𐝄𐛥, 1
𐄇𐝅𐛱, 1
𐄇𐝆𐘉, 1
𐄇𐝆𐙜, 1
𐄇𐝆𐝃, 1
𐄇𐝆𐝆, 1
𐄇𐝎𐘫, 1
𐄇𐝕𐛒, 1
𐄈—𐘇, 1
²⁰¹, 1
²⁰³, 1
²⁰⁴, 1
²⁷⁸, 1
²⁸³, 1
𐄈𐘀𐘤, 1
𐄈𐘂𐘱, 1
𐄈𐘆𐘭, 1
𐄈𐘉𐙱, 1
𐄈𐘌𐙠, 1
𐄈𐘐𐄇, 1
𐄈𐘗𐘸, 1
𐄈𐘝𐄇, 1
𐄈𐘞𐙯, 1
𐄈𐘬𐘲, 1
𐄈𐘰𐘝, 1
𐄈𐘱𐘣, 1
𐄈𐘹𐘐, 1
𐄈𐘾𐘂, 1
𐄈𐘾𐘬, 1
𐄈𐙀𐘬, 1
𐄈𐙂𐘂, 1
𐄈𐙈𐄉, 1
𐄈𐙍𐄉, 1
𐄈𐙖𐄊, 1
𐄈𐙘𐄌, 1
𐄈𐙜𐝆, 1
𐄈𐙰𐘆, 1
𐄈𐛏𐄇, 1
𐄈𐛫𐄑, 1
𐄈𐛭𐄒, 1
𐄈𐜂𐄈, 1
𐄈𐜉𐄉, 1
𐄈𐜙𐝆, 1
𐄈𐝃𐝋, 1
𐄈𐝄𐝇, 1
𐄈𐝆𐘇, 1
𐄈𐝆𐘱, 1
𐄈𐝆𐘾, 1
𐄈𐝆𐙘, 1
𐄈𐝆𐝁, 1
𐄈𐝓𐙉, 1
𐄉𐘀𐙂, 1
𐄉𐘇𐘜, 1
𐄉𐘇𐘤, 1
𐄉𐘇𐘳, 1
𐄉𐘍𐘤, 1
𐄉𐘘𐄑, 1
𐄉𐘛𐘯, 1
𐄉𐘣𐄐, 1
𐄉𐘱𐘸, 1
𐄉𐘷𐄐, 1
𐄉𐘾𐄇, 1
𐄉𐘾𐘁, 1
𐄉𐙂𐘴, 1
³𐙐², 1
𐄉𐙚𐘹, 1
𐄉𐜃𐄒, 1
𐄉𐜓𐄈, 1
𐄉𐜚𐝇, 1
𐄉𐝆𐙜, 1
𐄉𐝕𐙘, 1
𐄊𐄁𐘉, 1
𐄊𐄁𐘐, 1
⁴⁰𐙐, 1
⁴⁵¹, 1
⁴⁹⁰, 1
𐄊𐘅𐘠, 1
𐄊𐘇𐘙, 1
𐄊𐘇𐘭, 1
𐄊𐘕𐘘, 1
𐄊𐘞𐘽, 1
𐄊𐘦𐘲, 1
𐄊𐘿𐘫, 1
𐄊𐙁𐘆, 1
𐄊𐙁𐘭, 1
𐄊𐙂𐙀, 1
𐄊𐙗𐝁, 1
𐄊𐛖𐄐, 1
𐄊𐛹𐄝, 1
𐄊𐜙𐝁, 1
𐄊𐜬𐄈, 1
𐄊𐜱𐄊, 1
𐄊𐝃𐘸, 1
𐄊𐝃𐘾, 1
𐄊𐝆𐘬, 1
𐄊𐝆𐝁, 1
⁵⁴𐝥, 1
⁵⁸², 1
𐄋𐘂𐘚, 1
𐄋𐘇𐘤, 1
𐄋𐘉𐘯, 1
𐄋𐘝𐄈, 1
𐄋𐘝𐄉, 1
𐄋𐘰𐘝, 1
𐄋𐘶𐄐, 1
𐄋𐘸𐄉, 1
𐄋𐙇𐘚, 1
𐄋𐙋𐄇, 1
𐄋𐙑𐄍, 1
𐄋𐙕𐄐, 1
𐄋𐙘𐄋, 1
𐄋𐚢𐘌, 1
𐄋𐛉𐙉, 1
𐄋𐛩𐄐, 1
𐄋𐜆𐄙, 1
𐄋𐜉𐄊, 1
𐄋𐜋𐄈, 1
𐄋𐜌𐄉, 1
𐄋𐜗𐄇, 1
𐄋𐝅𐘸, 1
𐄋𐝆𐝅, 1
𐄋𐝕𐘀, 1
⁵𐝥¹, 1
⁶³⁸, 1
𐄌𐘃𐙌, 1
𐄌𐘝𐄁, 1
𐄌𐘡𐘾, 1
𐄌𐘣𐘆, 1
𐄌𐘦𐘶, 1
𐄌𐘳𐘅, 1
𐄌𐙁𐘘, 1
𐄌𐙂𐄖, 1
𐄌𐙂𐘁, 1
𐄌𐙜𐄊, 1
𐄌𐙸𐄍, 1
𐄌𐝆𐝃, 1
𐄍𐘇𐘀, 1
𐄍𐘞𐘁, 1
𐄍𐘠𐄍, 1
𐄍𐘸𐘁, 1
⁷𐙂¹, 1
𐄍𐝆𐙂, 1
𐄍𐝕𐙋, 1
⁸³⁴, 1
⁸⁶𐘼, 1
𐄎𐘀𐘤, 1
𐄎𐘆𐄐, 1
𐄎𐘝𐝓, 1
𐄎𐘞𐘆, 1
𐄎𐙂𐘢, 1
𐄎𐙰𐘆, 1
𐄎𐜗𐄎, 1
𐄎𐜙𐄇, 1
𐄎𐝓𐚺, 1
𐄎𐝕𐘸, 1
𐄏𐙋𐄐, 1
𐄏𐝆𐙁, 1
𐄏𐝆𐝃, 1
𐘀𐄐𐄈, 1
𐘀𐄇𐙂, 1
𐘀𐄎𐘋, 1
𐘀𐘄𐘚, 1
𐘀𐘅𐘤, 1
𐘀𐘅𐘹, 1
𐘀𐘇𐄁, 1
𐘀𐘈𐘴, 1
𐘀𐘋𐛳, 1
𐘀𐘙𐄈, 1
𐘀𐘙𐙂, 1
𐘀𐘚𐄔, 1
𐘀𐘝𐄁, 1
𐘀𐘤𐙈, 1
𐘀𐘬𐙁, 1
𐘀𐘭𐘀, 1
𐘀𐘳𐘴, 1
𐘀𐘵𐘑, 1
𐘀𐘶𐘃, 1
𐘀𐘹𐙋, 1
𐘀𐘻𐄁, 1
𐘀𐘻𐘯, 1
𐘀𐙁𐘃, 1
𐘀𐙂𐘈, 1
𐘁𐄁𐘉, 1
𐘁𐄁𐙗, 1
𐘁𐄐𐄌, 1
𐘁𐄒𐄇, 1
𐘁𐄒𐘸, 1
𐘁𐄕𐄋, 1
𐘁𐄗𐄍, 1
𐘁𐄘𐄍, 1
𐘁𐄙𐄐, 1
𐘁𐄙𐄒, 1
𐘁𐄙𐄗, 1
𐘁𐄇𐘀, 1
𐘁𐄋𐙅, 1
𐘁𐄋𐝆, 1
𐘁𐘂𐚣, 1
𐘁𐘝𐄉, 1
𐘁𐘤𐝢, 1
𐘁𐘰𐄐, 1
𐘁𐙄𐘳, 1
𐘁𐙋𐄘, 1
𐘁𐝆𐝃, 1
𐘁𐝎𐘞, 1
𐘁𐝕𐙂, 1
𐘂𐄁𐘀, 1
𐘂𐄁𐛭, 1
𐘂𐄇𐘃, 1
𐘂𐘀𐘝, 1
𐘂𐘀𐘲, 1
𐘂𐘁𐘲, 1
𐘂𐘈𐛱, 1
𐘂𐘚𐘄, 1
𐘂𐘞𐘭, 1
𐘂𐘯𐘿, 1
𐘂𐘱𐄈, 1
𐘂𐘳𐘀, 1
𐘂𐘴𐝓, 1
𐘂𐙂𐘯, 1
𐘂𐙈𐄒, 1
𐘃𐄁𐘇, 1
𐘃𐄁𐘙, 1
𐘃𐄁𐘚, 1
𐘃𐄁𐘳, 1
𐘃𐄁𐘸, 1
𐘃𐄁𐙉, 1
𐘃𐄁𐙍, 1
𐘃𐄁𐜉, 1
𐘃≈𐘝, 1
𐘃𐄐𐝇, 1
𐘃𐄈𐘳, 1
𐘃𐘃𐄁, 1
𐘃𐘃¹, 1
𐘃𐘃𐙛, 1
𐘃𐘌𐘠, 1
𐘃𐘚𐘥, 1
𐘃𐘚𐘱, 1
𐘃𐘭𐄁, 1
𐘃𐘮𐄁, 1
𐘃𐘸𐄑, 1
𐘃𐘹𐄇, 1
𐘃𐙉𐄘, 1
𐘃𐛬𐄔, 1
𐘄𐄌𐘆, 1
𐘄𐚉𐘄, 1
𐘅𐄁𐚴, 1
𐘅𐄐𐄍, 1
𐘅𐄇𐘀, 1
𐘅𐄇𐘂, 1
𐘅𐄇𐘈, 1
𐘅𐄇𐙂, 1
𐘅𐄈𐘇, 1
𐘅𐄈𐘘, 1
𐘅𐘀𐘙, 1
𐘅𐘐𐘗, 1
𐘅𐘗𐄁, 1
𐘅𐘞𐘽, 1
𐘅𐘠𐄁, 1
𐘅𐘠𐄇, 1
𐘅𐘠𐝕, 1
𐘅𐘤𐄁, 1
𐘅𐘬𐙉, 1
𐘅𐘳𐘚, 1
𐘅𐘴𐘃, 1
𐘅𐘹𐄑, 1
𐘅𐘻𐘅, 1
𐘅𐘾𐘅, 1
𐘅𐙁𐄁, 1
𐘅𐙁𐘤, 1
𐘅𐙁𐙁, 1
𐘅𐙂𐘂, 1
𐘅𐙇𐄇, 1
𐘅𐛳𐄕, 1
𐘅𐜉𐄉, 1
𐘅𐜋𐄔, 1
𐘅𐝆𐘃, 1
𐘆𐄐𐄈, 1
𐘆𐄕𐄋, 1
𐘆𐄇𐘃, 1
𐘆𐄈𐘀, 1
𐘆𐄈𐘳, 1
𐘆𐄉𐘠, 1
𐘆𐘀𐝆, 1
𐘆𐘅𐘁, 1
𐘆𐘅𐙨, 1
𐘆𐘆𐘍, 1
𐘆𐘆𐘺, 1
𐘆𐘆𐘾, 1
𐘆𐘑𐄇, 1
𐘆𐘗𐄈, 1
𐘆𐘙𐘆, 1
𐘆𐘦𐘘, 1
𐘆𐘭𐘅, 1
𐘆𐘱𐘚, 1
𐘆𐘸𐄈, 1
𐘆𐘸𐘈, 1
𐘆𐝆𐘑, 1
𐘇𐄑𐝁, 1
𐘇𐄞𐄗, 1
𐘇𐘀𐘐, 1
𐘇𐘀𐘴, 1
𐘇𐘁𐘃, 1
𐘇𐘂𐘸, 1
𐘇𐘅𐘯, 1
𐘇𐘆𐘀, 1
𐘇𐘇¹, 1
𐘇𐘈𐘙, 1
𐘇𐘈𐘤, 1
𐘇𐘈𐘹, 1
𐘇𐘗𐄁, 1
𐘇𐘘𐘴, 1
𐘇𐘙𐘗, 1
𐘇𐘙𐘞, 1
𐘇𐘞𐘀, 1
𐘇𐘞𐘲, 1
𐘇𐘞𐘽, 1
𐘇𐘠𐘾, 1
𐘇𐘤𐘲, 1
𐘇𐘤𐙈, 1
𐘇𐘧𐘞, 1
𐘇𐘬𐘙, 1
𐘇𐘬𐘝, 1
𐘇𐘬𐘺, 1
𐘇𐘬𐛧, 1
𐘇𐘰𐘆, 1
𐘇𐘲𐘫, 1
𐘇𐘲𐘱, 1
𐘇𐘳𐘙, 1
𐘇𐘴𐘶, 1
𐘇𐘴𐘺, 1
𐘇𐘶𐄁, 1
𐘇𐘸𐘁, 1
𐘇𐘸𐘤, 1
𐘇𐘹𐘭, 1
𐘇𐘾𐘯, 1
𐘇𐘾𐘴, 1
𐘇𐙁𐄁, 1
𐘇𐙁𐘮, 1
𐘇𐙁𐘱, 1
𐘇𐙁𐘴, 1
𐘇𐙂𐘶, 1
𐘇𐙕𐘸, 1
𐘈𐄁𐘃, 1
𐘈𐄁𐘇, 1
𐘈𐄁𐛵, 1
𐘈𐄁𐛽, 1
𐘈𐄐𐄎, 1
𐘈𐄕𐄊, 1
𐘈𐄇𐘮, 1
𐘈𐘃𐘭, 1
𐘈𐘄𐘚, 1
𐘈𐘅𐄐, 1
𐘈𐘞𐘰, 1
𐘈𐘤𐘳, 1
𐘈𐘮𐙄, 1
𐘈𐘯𐘠, 1
𐘈𐘱𐄑, 1
𐘈𐙎𐄋, 1
𐘈𐙙𐄁, 1
𐘉𐘂𐙁, 1
𐘉𐘅𐘇, 1
𐘉𐘠𐄇, 1
𐘉𐘠𐘯, 1
𐘉𐘪𐄁, 1
𐘉𐘪𐄇, 1
𐘉𐘪𐄌, 1
𐘉𐘳𐘁, 1
𐘉𐘴𐘅, 1
𐘉𐘶𐄋, 1
𐘉𐘷𐄁, 1
𐘉𐘾𐘙, 1
𐘉𐙱𐘍, 1
𐘉𐝄𐄁, 1
𐘊𐘇𐄁, 1
𐘊𐘘𐄇, 1
𐘊𐘼𐝇, 1
𐘋𐄁𐘉, 1
𐘋𐄁𐘳, 1
𐘋𐘀𐘚, 1
𐘋𐘃𐄇, 1
𐘋𐘸𐘆, 1
𐘌𐘌𐘀, 1
𐘌𐘌𐘘, 1
𐘌𐘘𐄈, 1
𐘌𐘙𐄁, 1
𐘌𐘞𐘴, 1
𐘌𐘠𐘀, 1
𐘌𐘠𐘶, 1
𐘌𐘯𐙁, 1
𐘌𐙂𐘙, 1
𐘌𐙈𐘇, 1
𐘌𐙠𐘚, 1
𐘌𐝇𐘞, 1
𐘍𐄁𐘳, 1
𐘍𐄈𐘌, 1
𐘍𐄌𐘀, 1
𐘍𐘈𐄌, 1
𐘍𐘙𐄁, 1
𐘍𐘠𐄁, 1
𐘍𐘤—, 1
𐘍𐝃𐘇, 1
𐘎𐄏𐘳, 1
𐘏𐛻𐄙, 1
𐘐𐄁𐛱, 1
𐘐𐄑𐄍, 1
𐘐𐄇𐘴, 1
𐘐𐘗𐘻, 1
𐘐𐘭𐘹, 1
𐘐𐘱𐘬, 1
𐘐𐙈𐄁, 1
𐘐𐙈𐄌, 1
𐘑𐙄𐘤, 1
𐘒𐄉𐛞, 1
𐘓𐄋𐘃, 1
𐘕𐄁𐘉, 1
𐘕𐄁𐘘, 1
𐘕≈𐘮, 1
𐘕𐄇𐙁, 1
𐘕𐘇𐘱, 1
𐘕𐘠𐄁, 1
𐘖𐄊𐘸, 1
𐘗𐄁𐘇, 1
𐘗𐄁𐘌, 1
𐘗𐄐𐄉, 1
𐘗𐄇𐝆, 1
𐘗𐄈𐝆, 1
𐘗𐘃𐝇, 1
𐘗𐘔𐄇, 1
𐘘𐄇𐘗, 1
𐘘𐄇𐘞, 1
𐘘𐄊𐝃, 1
𐘘𐄌𐘸, 1
𐘘𐘀𐘴, 1
𐘘𐘃𐄁, 1
𐘘𐘋𐄌, 1
𐘘𐘚𐘺, 1
𐘘𐘱𐘝, 1
𐘘𐘱𐘳, 1
𐘘𐘳𐘴, 1
𐘘𐘽𐙅, 1
𐘘𐙀𐘅, 1
𐘘𐙁𐄁, 1
𐘘𐙁𐘠, 1
𐘘𐙁𐘳, 1
𐘘𐙂𐄇, 1
𐘘𐙋𐄐, 1
𐘘𐙝𐘶, 1
𐘙𐄁𐘚, 1
𐘙𐄐𐄌, 1
𐘙𐄐𐘉, 1
𐘙𐄑𐘤, 1
𐘙𐄖𐄈, 1
𐘙𐄖𐙍, 1
𐘙𐄇𐘃, 1
𐘙𐄇𐘤, 1
𐘙𐄇𐘾, 1
𐘙𐄈𐙂, 1
𐘙𐄈𐛇, 1
𐘙𐄊𐙂, 1
𐘙𐘀𐘚, 1
𐘙𐘃𐜓, 1
𐘙𐘄𐄁, 1
𐘙𐘆𐘱, 1
𐘙𐘇𐘻, 1
𐘙𐘍𐘈, 1
𐘙𐘚𐄉, 1
𐘙𐘚𐘥, 1
𐘙𐘣𐄇, 1
𐘙𐘭𐘻, 1
𐘙𐘷𐄇, 1
𐘙𐘻𐄇, 1
𐘙𐙿𐄐, 1
𐘙𐛲𐄐, 1
𐘙𐝓𐘇, 1
𐘚𐄁𐘚, 1
𐘚𐄁𐘱, 1
𐘚𐘀𐄁, 1
𐘚𐘀𐘀, 1
𐘚𐘀𐙉, 1
𐘚𐘁𐄊, 1
𐘚𐘃𐄇, 1
𐘚𐘅𐄇, 1
𐘚𐘅𐘚, 1
𐘚𐘅𐘮, 1
𐘚𐘅𐝃, 1
𐘚𐘈𐄈, 1
𐘚𐘌𐙈, 1
𐘚𐘠𐄇, 1
𐘚𐘠𐘠, 1
𐘚𐘢𐘳, 1
𐘚𐘬𐘗, 1
𐘚𐘱𐘂, 1
𐘚𐘱𐘃, 1
𐘚𐘳𐄉, 1
𐘚𐘳𐘱, 1
𐘚𐘾𐄁, 1
𐘚𐘾𐄋, 1
𐘚𐙀𐘭, 1
𐘚𐙂𐘭, 1
𐘚𐙂𐘳, 1
𐘚𐙂𐘶, 1
𐘚𐙌𐄈, 1
𐘚𐙕𐄋, 1
𐘚𐜚𐄉, 1
𐘚𐝆𐙚, 1
𐘚𐝕𐘤, 1
𐘛𐘯𐙁, 1
𐘜𐘙𐄁, 1
𐘝𐄁𐄇, 1
𐘝𐄁𐘃, 1
𐘝≈𐛿, 1
𐘝𐄓𐄈, 1
𐘝𐄓𐘰, 1
𐘝𐄇𐘉, 1
𐘝𐄈—, 1
𐘝𐄈𐝆, 1
𐘝𐄈𐝇, 1
𐘝𐄊𐛖, 1
𐘝𐄋𐘃, 1
𐘝𐄌𐙍, 1
𐘝𐘯𐘝, 1
